date,closing_price
2023/06/08,100
2023/06/09,110
2023/06/10,112
2023/06/11,125
2023/06/12,130
2023/06/13,125
2023/06/14,122
2023/06/15,100
2023/06/16,122
2023/06/17,120
2023/06/18,115
2023/06/19,115
2023/06/20,70
2023/06/21,93
2023/06/22,110
2023/06/23,92
2023/06/24,92
2023/06/25,105
2023/06/26,130
2023/06/27,115
2023/06/28,105
2023/06/29,112
2023/06/30,102
2023/07/01,95
2023/07/02,130
2023/07/03,120
2023/07/04,115
2023/07/05,110
2023/07/06,110
2023/07/07,105
2023/07/08,98
2023/07/09,112
2023/07/10,92
2023/07/11,90
2023/07/12,145
2023/07/13,82
2023/07/14,75
2023/07/15,105
2023/07/16,85
2023/07/17,82
2023/07/18,75
2023/07/19,85
2023/07/20,92
2023/07/21,115
2023/07/22,115
2023/07/23,110
2023/07/24,90
2023/07/25,78
2023/07/26,87
2023/07/27,110
2023/07/28,120
2023/07/29,118
2023/07/30,115
2023/07/31,122
2023/08/01,72
2023/08/02,105
2023/08/03,80
2023/08/04,95
2023/08/05,78
2023/08/06,70
2023/08/07,75
2023/08/08,98
2023/08/09,75
2023/08/10,110
2023/08/11,82
2023/08/12,82
2023/08/13,108
2023/08/14,85
2023/08/15,78
2023/08/16,78
2023/08/17,82
2023/08/18,72
2023/08/19,85
2023/08/20,90
2023/08/21,68
2023/08/22,105
2023/08/23,112
2023/08/24,75
2023/08/25,112
2023/08/26,70
2023/08/27,98
2023/08/28,82
2023/08/29,118
2023/08/30,130
2023/08/31,68
2023/09/01,92
2023/09/02,87
2023/09/03,92
2023/09/04,95
2023/09/05,80
2023/09/06,80
2023/09/07,112
2023/09/08,98
2023/09/09,112
2023/09/10,82
2023/09/11,95
2023/09/12,100
2023/09/13,78
2023/09/14,95
2023/09/15,82
2023/09/16,115
2023/09/17,110
2023/09/18,122
2023/09/19,115
2023/09/20,115
2023/09/21,112
2023/09/22,92
2023/09/23,78
2023/09/24,105
2023/09/25,105
2023/09/26,110
2023/09/27,98
2023/09/28,80
2023/09/29,95
2023/09/30,82
2023/10/01,85
2023/10/02,98
2023/10/03,95
2023/10/04,90
2023/10/05,80
2023/10/06,78
2023/10/07,98
2023/10/08,78
2023/10/09,122
2023/10/10,98
2023/10/11,110
2023/10/12,92
2023/10/13,95
2023/10/14,90
2023/10/15,92
2023/10/16,85
2023/10/17,118
2023/10/18,85
2023/10/19,130
2023/10/20,96
2023/10/21,112
2023/10/22,88
2023/10/23,118
2023/10/24,82
2023/10/25,150
2023/10/26,115
2023/10/27,125
2023/10/28,82
2023/10/29,112
2023/10/30,130
2023/10/31,82
2023/11/01,85
2023/11/02,150
2023/11/03,68
2023/11/04,82
2023/11/05,70
2023/11/06,98
2023/11/07,78
2023/11/08,92
2023/11/09,120
2023/11/10,80
2023/11/11,112
2023/11/12,82
2023/11/13,128
2023/11/14,110
2023/11/15,90
2023/11/16,110
2023/11/17,128
2023/11/18,75
2023/11/19,78
2023/11/20,102
2023/11/21,110
2023/11/22,70
2023/11/23,75
2023/11/24,78
2023/11/25,112
2023/11/26,85
2023/11/27,105
2023/11/28,112
2023/11/29,90
2023/11/30,105
2023/12/01,105
2023/12/02,110
2023/12/03,105
2023/12/04,122
2023/12/05,98
2023/12/06,115
2023/12/07,125
2023/12/08,120
2023/12/09,85
2023/12/10,88
2023/12/11,70
2023/12/12,95
2023/12/13,105
2023/12/14,95
2023/12/15,102
2023/12/16,105
2023/12/17,118
2023/12/18,82
2023/12/19,98
2023/12/20,92
2023/12/21,100
2023/12/22,112
2023/12/23,95
2023/12/24,112
2023/12/25,110
2023/12/26,82
2023/12/27,70
2023/12/28,115
2023/12/29,125
2023/12/30,112
2023/12/31,110
2024/01/01,122
2024/01/02,100
2024/01/03,112
2024/01/04,105
2024/01/05,115
2024/01/06,120
2024/01/07,110
2024/01/08,118
2024/01/09,130
2024/01/10,105
2024/01/11,115
2024/01/12,98
2024/01/13,112
2024/01/14,105
2024/01/15,110
2024/01/16,110
2024/01/17,98
2024/01/18,110
2024/01/19,105
2024/01/20,100
2024/01/21,110
2024/01/22,105
2024/01/23,68
2024/01/24,118
2024/01/25,102
2024/01/26,95
2024/01/27,70
2024/01/28,128
2024/01/29,145
2024/01/30,110
2024/01/31,102
