date,closing_price
2024/01/05,110
2024/01/06,118
2024/01/07,85
2024/01/08,110
2024/01/09,78
2024/01/10,115
2024/01/11,125
2024/01/12,68
2024/01/13,98
2024/01/14,85
2024/01/15,92
2024/01/16,115
2024/01/17,118
2024/01/18,108
2024/01/19,130
2024/01/20,115
2024/01/21,122
2024/01/22,82
2024/01/23,95
2024/01/24,100
2024/01/25,118
2024/01/26,115
2024/01/27,128
2024/01/28,72
2024/01/29,108
2024/01/30,125
2024/01/31,98
